participant_id	Education	Age	Gender	Race	Ethnicity	Zipcode	When_Move	Current_City	Current_State	Total_Income	Personal_Income	Rent	Household_Members	Education_ses	Years_Education	Ladder	Occupation_1	Occupation_2	Alpha	Gamma
sub-001	No college degree	60	Male	Asian	Not Hispanic or Latino	92105	2 to 5 years ago	Sandiego	n/a	$26,000-$50,000	$26,000-$50,000	Rent	1	Some university	12	6	Sales and Related Services	Retail Salesperson	0.61776     0.61067
sub-002	4-year degree or higher	72	Female	White (Non-Hispanic)	Not Hispanic or Latino	85044	More than 5 years ago	Phoenix	n/a	$26,000-$50,000	$26,000-$50,000	Own (or pay mortgage)	I live alone	Bachelor degree	20	4	Unemployed	1-3 months	0.5862     0.61568
sub-003	No college degree	35	Male	White (Non-Hispanic)	Not Hispanic or Latino	55016	More than 5 years ago	Cottage grove 	n/a	$26,000-$50,000	$26,000-$50,000	Rent	5 or more	High School	15	4	Unemployed	1-3 months	0.50419     0.54755
sub-004	4-year degree or higher	68	Female	White (Non-Hispanic)	Not Hispanic or Latino	91977	2 to 5 years ago	spring valley	n/a	$0-$25,000	$0-$25,000	Rent	0	Postgraduate degree	20+	8	Educational Instruction and Library	Postsecondary Teacher - Criminal Justice and/or Law Enforcement	0.61776     0.61067
sub-005	4-year degree or higher	72	Female	White (Non-Hispanic)	Not Hispanic or Latino	97060	2 to 5 years ago	Troutdale 	n/a	$26,000-$50,000	$26,000-$50,000	Own (or pay mortgage)	1	Bachelor degree	16	5	Retired	Retired	0.60013     0.60882
sub-006	4-year degree or higher	74	Male	White (Non-Hispanic)	Not Hispanic or Latino	85016	1 to 2 years ago	Phoenix	n/a	$26,000-$50,000	$26,000-$50,000	Rent	0	Bachelor degree	15	2	Retired	Retired	0.5862     0.61568
sub-007	No college degree	55	Female	White (Non-Hispanic)	Not Hispanic or Latino	85032	2 to 5 years ago	Phoenix 	n/a	$26,000-$50,000	$26,000-$50,000	Rent	I live with roommates	Some university	14	2	Homemaker/Stay at home parent	Homemaker/Stay at home parent	0.5862     0.61568
sub-008	No college degree	40	Female	White (Non-Hispanic)	Not Hispanic or Latino	92109	More than 5 years ago	San Diego	n/a	$151,000-$200,000	$101,000-$150,000	Rent	1	High School	14	6	Office and Administrative Supportï¾Š	Human Resources Assistant	0.61776     0.61067
sub-009	No college degree	54	Female	White (Non-Hispanic)	Not Hispanic or Latino	92057	Less than 6 months ago	Oceanside	n/a	$26,000-$50,000	$26,000-$50,000	Rent	0	Some university	14	6	Sales and Related Services	Cashier	0.61776     0.61067
sub-010	No college degree	36	Female	White (Non-Hispanic)	Not Hispanic or Latino	85008	More than 5 years ago	phoenix	Arizona	$0-$25,000	$0-$25,000	Rent	I live alone	Less than high school	6	3	Homemaker/Stay at home parent	Homemaker/Stay at home parent	0.5862     0.61568
